Nifty 50,Nifty Next 50,Nifty 100,Nifty 200,Nifty Total Market,Nifty 500,Nifty500 Multicap 50:25:25,Nifty Midcap150,Nifty Midcap 50,Nifty Midcap Select,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 50,Nifty Smallcap 100,Nifty Microcap 250,Nifty LargeMidcap 250,Nifty MidSmallcap 400,Nifty Auto,Nifty Bank,Nifty Financial Services,Nifty Financial Services 25/50,Nifty Financial Services Ex Bank,Nifty FMCG,Nifty Healthcare,Nifty IT,Nifty Media,Nifty Metal,Nifty Pharma,Nifty Private Bank,Nifty PSU Bank,Nifty Realty,Nifty Consumer Durables,Nifty Oil and Gas,Nifty MidSmall Financial Services,Nifty MidSmall Healthcare,Nifty MidSmall IT & Telecom,Nifty India Corporate Group Index - Aditya Birla Group,Nifty Commodities,Nifty Core Housing,Nifty CPSE,Nifty Energy,Nifty Housing,Nifty India Consumption,Nifty India Defence,Nifty India Digital,Nifty India Manufacturing,Nifty Infrastructure,Nifty India Corporate Group Index - Mahindra Group,Nifty Midcap Liquid 15,Nifty MidSmall India Consumption,Nifty MNC,Nifty Mobility,Nifty PSE,Nifty REITs & InvITs,Nifty Non-Cyclical Consumer,Nifty Services Sector,Nifty India Corporate Group Index - Tata Group,Nifty India Corporate Group Index - Tata Group 25% Cap,Nifty Transportation & Logistics,Nifty100 Liquid 15,Nifty500 Shariah,Nifty500 Multicap India Manufacturing 50:30:20,Nifty500 Multicap Infrastructure 50:30:20,Nifty SME Emerge,Nifty100 Equal Weight,Nifty100 Low Volatility 30,Nifty200 Momentum 30,Nifty200 Alpha 30,Nifty100 Alpha 30,Nifty Alpha 50,Nifty Alpha Low Volatility 30,Nifty Alpha Quality Low Volatility 30,Nifty Alpha Quality Value Low Volatility 30,Nifty Dividend Opportunities 50,Nifty Growth Sectors 15,Nifty High Beta 50,Nifty Low Volatility 50,Nifty100 Quality 30,Nifty Midcap150 Momentum 50,Nifty Midcap150 Quality 50,Nifty Smallcap250 Quality 50,Nifty MidSmallcap400 Momentum Quality 100,Nifty Smallcap250 Momentum Quality 100,Nifty Quality Low Volatility 30,Nifty50 Equal Weight,Nifty50 Value 20,Nifty500 Value 50,Nifty200 Quality 30
BHARTIARTL,BERGEPAINT,ASIANPAINT,ATGL,AARTIDRUGS,ABBOTINDIA,ABBOTINDIA,AJANTPHARM,BHARATFORG,GODREJPROP,AUROPHARMA,ALLCARGO,CDSL,BSOFT,ARVINDFASN,ADANIGREEN,ACE,MRF,KOTAKBANK,ICICIPRULI,ICICIPRULI,ICICIGI,PGHH,GLENMARK,WIPRO,ZEEL,NATIONALUM,GRANULES,RBLBANK,SBIN,SUNTECK,KALYANKJIL,IGL,FEDERALBNK,GLENMARK,MASTEK,,DEEPAKNTR,DIXON,POWERGRID,TATAPOWER,CUB,DABUR,MTARTECH,IRCTC,BEL,CUMMINSIND,,JUBLFOOD,INDIAMART,COLPAL,EICHERMOT,IRCTC,,GODREJCP,HCLTECH,TATACONSUM,TRENT,CARBORUNIV,RELIANCE,AUROPHARMA,AUROPHARMA,BALKRISIND,AGARWALFT,ASIANPAINT,HCLTECH,DRREDDY,DIXON,CIPLA,BEL,CUMMINSIND,CUMMINSIND,DRREDDY,CASTROLIND,MARUTI,BANDHANBNK,DABUR,DIVISLAB,ESCORTS,BAYERCROP,CDSL,BDL,BIRLACORPN,COLPAL,BHARTIARTL,ITC,FEDERALBNK,DIVISLAB
BRITANNIA,BEL,DMART,ABCAPITAL,AARTIIND,ACE,ACE,ALKEM,BHEL,HDFCAMC,BSE,ALOKINDS,CENTURYTEX,BLUESTARCO,ARVIND,ADANIPORTS,AWL,M&M,PNB,IDFC,IDFC,ICICIPRULI,RADICO,GRANULES,,,RATNAMANI,IPCALAB,,UCOBANK,,RAJESHEXPO,MGL,HDFCAMC,GRANULES,MPHASIS,,GRASIM,GODREJPROP,SJVN,,CROMPTON,EICHERMOT,MAZDOCK,NAUKRI,BHARATFORG,DLF,,LUPIN,INDHOTEL,CUMMINSIND,GAIL,LICI,,HAVELLS,HDFCBANK,TATAELXSI,VOLTAS,CONCOR,SHRIRAMFIN,BAJAJ-AUTO,BAJAJ-AUTO,BHEL,AGNI,DMART,HDFCBANK,ESCORTS,GMRINFRA,COALINDIA,BHEL,DRREDDY,DABUR,HCLTECH,COALINDIA,SUNPHARMA,BANKBARODA,DRREDDY,EICHERMOT,FACT,CRISIL,CERA,BLS,BLS,DABUR,BRITANNIA,INDUSINDBK,GAIL,HCLTECH
CIPLA,BOSCHLTD,AXISBANK,ABFRL,AARTIPHARM,ADANIENSOL,ADANIENSOL,APOLLOTYRE,COFORGE,HINDPETRO,BALKRISIND,ARE&M,CUB,CESC,ASHOKA,ADANIPOWER,ABCAPITAL,MARUTI,SBIN,KOTAKBANK,KOTAKBANK,IDFC,TATACONSUM,IPCALAB,,,SAIL,JBCHEPHARM,,UNIONBANK,,TITAN,ONGC,IDFCFIRSTB,IPCALAB,OFSS,,HINDALCO,GRASIM,,,DALBHARAT,GODREJCP,MIDHANI,INFY,BPCL,GAIL,,PAGEIND,IPCALAB,ESCORTS,HEROMOTOCO,NHPC,,HINDUNILVR,HDFCLIFE,TATAINVEST,,EICHERMOT,SBIN,BALKRISIND,BALKRISIND,BPCL,AKANKSHA,AXISBANK,HEROMOTOCO,HEROMOTOCO,HAL,DLF,BSOFT,GODREJCP,DRREDDY,HDFCAMC,COLPAL,TCS,BANKINDIA,EXIDEIND,GODREJCP,FORTIS,COFORGE,CYIENT,BSOFT,BSE,DRREDDY,CIPLA,INFY,GRASIM,HDFCAMC
COALINDIA,CANBK,BAJAJ-AUTO,ALKEM,AAVAS,ADANIENT,ADANIENT,ASHOKLEY,CONCOR,IDFCFIRSTB,BANDHANBNK,AMBER,CAMS,CIEINDIA,ASTRAMICRO,ATGL,ABFRL,MOTHERSON,,LICHSGFIN,LICHSGFIN,IEX,UBL,LAURUSLABS,,,TATASTEEL,LAURUSLABS,,,,VGUARD,OIL,IDFC,JBCHEPHARM,PERSISTENT,,HINDPETRO,HAVELLS,,,DIXON,HAVELLS,PARAS,INTELLECT,BOSCHLTD,GODREJPROP,,PERSISTENT,KAJARIACER,GLAND,HINDPETRO,NMDC,,ITC,ICICIBANK,TATAMTRDVR,,ENDURANCE,TATAMOTORS,BEL,BEL,BHARTIARTL,ALLETEC,BAJAJ-AUTO,HINDUNILVR,HAL,HINDPETRO,DRREDDY,CANBK,GRASIM,GODREJCP,HDFCBANK,CUMMINSIND,TATACONSUM,BHEL,GODREJCP,HCLTECH,GICRE,COROMANDEL,ENGINERSIN,CANFINHOME,BSOFT,HCLTECH,COALINDIA,NTPC,GESHIP,HAVELLS
DIVISLAB,CHOLAFIN,BAJFINANCE,AMBUJACEM,ABBOTINDIA,ADANIGREEN,ADANIGREEN,ASTRAL,CUMMINSIND,INDHOTEL,BANKINDIA,ANANDRATHI,CREDITACC,CANFINHOME,AVALON,AWL,AEGISCHEM,TVSMOTOR,,MUTHOOTFIN,MUTHOOTFIN,JIOFIN,MCDOWELL-N,LUPIN,,,VEDL,LUPIN,,,,VOLTAS,PETRONET,IIFL,JUBLPHARMA,ROUTE,,IOC,HDFC,,,DLF,HEROMOTOCO,SOLARINDS,KPITTECH,CGPOWER,GRASIM,,POLYCAB,LODHA,GRINDWELL,IOC,NTPC,,INDHOTEL,INDUSINDBK,TATAMOTORS,,ESCORTS,TATASTEEL,BHARATFORG,BHARATFORG,BIRLACORPN,AMBANIORG,BAJFINANCE,ICICIBANK,IPCALAB,IOC,GAIL,CUMMINSIND,ICICIBANK,HCLTECH,HEROMOTOCO,CYIENT,TITAN,CANBK,GRASIM,HDFCBANK,HDFCAMC,CROMPTON,FINEORG,CASTROLIND,CANFINHOME,HDFCBANK,DIVISLAB,ONGC,GNFC,HEROMOTOCO
DRREDDY,COLPAL,BAJAJFINSV,APOLLOHOSP,ACCELYA,ADANIPORTS,ADANIPORTS,ATUL,DALBHARAT,JUBLFOOD,MAHABANK,ANGELONE,CROMPTON,CASTROLIND,AZAD,ABCAPITAL,AETHER,TATAMTRDVR,,PFC,PFC,LTF,VBL,MAXHEALTH,,,WELCORP,MANKIND,,,,WHIRLPOOL,RELIANCE,IEX,KIMS,SONATSOFTW,,JSWSTEEL,IBULHSGFIN,,,FEDERALBNK,HINDUNILVR,ZENTEC,LTTS,CARBORUNIV,HINDPETRO,,UPL,MAXHEALTH,HINDUNILVR,IRCTC,ONGC,,IRCTC,NAUKRI,TATAPOWER,,EXIDEIND,TITAN,BHEL,BHEL,BRIGADE,AMEYA,BAJAJFINSV,ITC,LTF,LTF,HAL,CYIENT,ITC,HEROMOTOCO,HAL,GAIL,WIPRO,DLF,HCLTECH,HAVELLS,IDFCFIRSTB,LALPATHLAB,FINCABLES,CDSL,CASTROLIND,HAVELLS,DRREDDY,POWERGRID,GSFC,HAL
EICHERMOT,DLF,BAJAJHLDNG,APOLLOTYRE,ACE,ADANIPOWER,ADANIPOWER,AUROPHARMA,DIXON,LUPIN,BDL,ANURAS,CYIENT,CEATLTD,BASF,ABFRL,AFFLE,TATAMOTORS,,RECLTD,RECLTD,LICHSGFIN,,METROPOLIS,,,,NATCOPHARM,,,,,,LTF,LAURUSLABS,STLTECH,,JINDALSTEL,JKCEMENT,,,GODREJPROP,ITC,,LTIM,CASTROLIND,INDHOTEL,,,OBEROIRLTY,HONAUT,IGL,OIL,,NAUKRI,INFY,TATASTEEL,,GESHIP,,BLUESTARCO,BLUESTARCO,CESC,AMIABLE,BAJAJHLDNG,KOTAKBANK,LT,LUPIN,IOC,DLF,IOC,HAL,HINDUNILVR,HCLTECH,,FEDERALBNK,HDFCBANK,HEROMOTOCO,INDIANB,EMAMILTD,GILLETTE,CERA,CDSL,HEROMOTOCO,EICHERMOT,SBIN,GSPL,HINDUNILVR
GRASIM,DABUR,BANKBARODA,ASHOKLEY,ADANIENSOL,ATGL,ATGL,BSE,ESCORTS,MRF,BHARATFORG,APARINDS,EQUITASBNK,CENTRALBK,BAJAJCON,AJANTPHARM,AJANTPHARM,,,SBICARD,SBICARD,M&MFIN,,SUNPHARMA,,,,SANOFI,,,,,,LICHSGFIN,MAXHEALTH,TATACOMM,,NTPC,KEI,,,GRASIM,INDHOTEL,,MPHASIS,CENTURYTEX,IOC,,,PAGEIND,JBCHEPHARM,INDIGO,PFC,,INDIGO,JIOFIN,TATATECH,,GRINDWELL,,CIEINDIA,CIEINDIA,CIEINDIA,ANLON,BANKBARODA,LT,LUPIN,NMDC,IRFC,DIXON,LT,HINDUNILVR,ITC,HDFCAMC,,GICRE,HDFCLIFE,HAL,IRFC,GLAXO,GPIL,CGPOWER,CENTURYTEX,HINDUNILVR,GRASIM,TCS,HINDALCO,ITC
HCLTECH,GAIL,BERGEPAINT,ASIANPAINT,ADANIENT,AWL,AWL,BALKRISIND,FEDERALBNK,MPHASIS,BHEL,APTUS,EXIDEIND,CDSL,BAJAJHIND,ALKEM,APLLTD,,,SBILIFE,SBILIFE,MANAPPURAM,,SYNGENE,,,,SUNPHARMA,,,,,,M&MFIN,MEDPLUS,TATAELXSI,,ONGC,KAJARIACER,,,HAVELLS,NAUKRI,,PAYTM,CIPLA,IRCTC,,,PFIZER,LINDEINDIA,MRF,POWERGRID,,JUBLFOOD,KOTAKBANK,TTML,,HEROMOTOCO,,CASTROLIND,CASTROLIND,CASTROLIND,ANNAPURNA,BERGEPAINT,MARICO,NMDC,NTPC,LT,GICRE,MRF,ITC,INFY,HEROMOTOCO,,GODREJPROP,HEROMOTOCO,HINDUNILVR,IPCALAB,GRINDWELL,GODFRYPHLP,COCHINSHIP,CERA,ITC,HCLTECH,TATASTEEL,HINDPETRO,IRCTC
HDFCBANK,GODREJCP,BEL,ASTRAL,ADANIGREEN,ABCAPITAL,ABCAPITAL,BANDHANBNK,GMRINFRA,PIIND,BIOCON,ACI,FINCABLES,CENTURYTEX,BALMLAWRIE,AMBUJACEM,ALKEM,,,SHRIRAMFIN,SHRIRAMFIN,MFSL,,TORNTPHARM,,,,TORNTPHARM,,,,,,MANAPPURAM,METROPOLIS,IDEA,,PIIND,KANSAINER,,,HDFCBANK,M&M,,OFSS,COROMANDEL,INDIGO,,,PHOENIXLTD,MARUTI,M&M,RECLTD,,MARICO,LTIM,TITAN,,IRCTC,,CENTURYTEX,CENTURYTEX,CERA,ARABIAN,BEL,NTPC,NTPC,OFSS,NTPC,GLENMARK,MARUTI,MARICO,MARICO,HINDUNILVR,,HFCL,HINDUNILVR,ITC,JSL,GUJGASLTD,GAEL,COFORGE,CGCL,IRCTC,HDFCBANK,TECHM,HUDCO,IGL
